Наименование ПС,lon,lat
110 kV Pernoonkoski substation,26.809057,60.579522
138 kV Palhoça Substation,-48.691138,-27.641318
735-kV Saguenay substation,-71.049039,48.424657
Hydro-Québec Research Institute (IREQ),-73.380427,45.624777
KEMA Laboratories,5.871092113709996,51.97907675767671
MEPPI,-80.115719,40.669472
MIT,-71.09858,42.36002
Terna,7.708535875231089,45.10096374952365
 380/220kV GIS substation at Châtelard/Valais,6.958601,46.062446
АО «Казахстанский электролизный завод»,77.19147,52.208209
Березовская ГРЭС,89.070545,55.579161
Братский алюминиевый завод,101.45080100855724,56.12769728017043
ВСМПО-АВИСМА,60.534718,58.060599
Василеостровская ТЭЦ (ТЭЦ-7),30.246416655576883,59.92355376229864
Всероссийский электротехнический институт,37.70119,55.75638
Завод РусВинил,44.124061,56.111279
Иркутский алюминиевый завод,104.08460831108552,52.19166742330731
Казцинк-Энерго,82.612898,49.974036
Кандалакшский алюминиевый завод,32.43380055830461,67.19400905056888
Красноярский алюминиевый завод,93.01941925256092,56.08462530213259
Нижегородская ГЭС,43.379365,56.648632
Новокузнецкий алюминиевый завод,87.23870784383003,53.77046675224009
ПАО «ТГК-1»,30.246522220407503,59.92357021699063
ПС 110 кВ Ясень,28.483366,59.401579
ПС 110/10 кВ Бенжереп-2,86.929866,53.270883
ПС 110/10 кВ Волхов,32.35625297210058,59.90491428556395
ПС 110/10 кВ Мартышкино,29.795292,59.88543
ПС 110/10 кВ Пятницкая,38.1425,54.7607
ПС 110/10 кВ Ям,37.758,55.52
ПС 110/10/10 кВ Доброград,41.302431,56.228066
ПС 110/10/6 кВ Нагорная,37.6166,55.6723
ПС 110/10/6 кВ Рублево,37.341358,55.772963
ПС 110/10/6 кВ №174 Лыткарино,37.9316,55.5744
ПС 110/10кВ Север,72.559204,67.781219
ПС 110/35/10 кВ Богучаны,97.417477,58.369716
ПС 110/35/6 кВ  Тяговая подстанция № 11 (Владимир),40.387906,56.111779
ПС 110/6 кВ Уват,69.016958,59.131829
ПС 110/6/6 кВ Десна,34.001997,52.973775
ПС 220/110/10 кВ Надым,73.045392,65.310772
ПС 220/110/20/10 кВ Герцево,37.399778,55.836634
ПС 330 кВ Могилев,30.509444,53.856667
ПС 500 кВ Тобол,68.448,58.286531
ПС 500/220/35 кВ Трачуковская,75.230421,61.287586
ПС 500/220/35/10 кВ Сомкино,72.965366,61.351192
Правобережная ТЭЦ (ТЭЦ-5),30.487559309026985,59.86642031090816
Саяногорский алюминиевый завод,91.4568565277656,53.2008564437786
ТЭЦ-11,37.72603645794139,55.75280205372423
Тайшетский алюминиевый завод,97.989726,55.94185
Южная ТЭЦ (ТЭЦ-22),30.447695642724305,59.826721094535166
