ДЗО ПАО Россети;филиал ДЗО ПАО Россети;Наименование ПС;Класс напряжения, кВ;Локация (Широта, Долгота);Основание применения;Архитектура построения ПС;Дата ввода в эксплуатацию;Стадия реализации;Основные технические решения;Производитель РЗА
"Россети ""Волга""";Саратовские РС;"ПС 110 кВ ""Сазанлей""";110;52.003900, 47.811900;Реконструкция;III;2021;Введена в работу;-;"ООО НПП ""ЭКРА"""
"Россети ""Волга""";Оренбургэнерго;"ПС 110 кВ ""Юго-Восточная""";110;51.784400, 55.166900;Реконструкция;III;;СМР;-;"ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 110/10 кВ ""Молодежная""";110;56.017455, 92.877061;Реконструкция;III;2019;Введена в работу;"Шкаф серверный АСУТП - 1 шт.; Шкаф сетевых коммутаторов -2 шт.; Шкаф телекоммуникационный - 1 шт.";"ООО НПП ""ЭКРА"", ООО НПП ""Бреслер"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 110/10 кВ ""Имени Сморгунова""";110;56.053130, 92.829562;Строительство;III;2019;Введена в работу;"Шкаф серверный АСУТП/РЗА - 2 шт.; Шкаф телекоммуникационный - 2 шт.";"ООО ""ЛИСИС"", ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 110/10 кВ ""Юбилейная""";110;54.886383, 71.293395;Реконструкция;II;2018;Введена в работу;Шкаф серверный ССПИ - 1 шт., шкаф телекоммуникационный - 1 шт.;"ООО НПП ""ЭКРА"", ООО НПП ""Бреслер"", АО ""РАДИУС Автоматика"""
"Россети ""Сибирь""";Красноярскэнерго;"ПС 35/10 кВ ""Элита""";35;56.085304, 92.581901;Реконструкция;II;2021;Введена в работу;Шкаф серверный ССПИ - 1 шт., шкаф телекоммуникационный - 1 шт.;"ООО НПП ""Бреслер"""
"Россети ""Сибирь""";АО Тываэнерго;"ПС 35/10 ""Каа-Хем""";35;51.680818, 94.602950;Строительство;II;2020;Введена в работу;"Шкаф серверный АСУ ТП - 2 шт.; Шкаф телекоммуникационны
й АСУ ТП-1 шт.; Контроллер АСУ ТП (В ячейках) - 20 шт.";"ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Кузбассэнерго-РЭС;"ПС 110 кВ ""Бызовская""";110;53.869333, 87.200750;Реконструкция;II;2021;Введена в работу;Шкаф телемеханики и телеизмерений - 1 шт., Шкаф сетевых коммутаторов - 1 шт., Шкаф связи - 1 шт., Шкаф защит тр-ра - 2 шт, ШЦС - 1 шт;"ООО НПП ""Бреслер"""
"Россети ""Сибирь""";Кузбассэнерго-РЭС;"ПС 110 кВ ""Бенжереп-2""";110;53.270883, 86.929866;Реконструкция;III;2021;Введена в работу;Шкаф серверов - 1 шт., Шкаф контроллеров присоединений - 1 шт., Шкаф сетевых коммутаторов - 3 шт., Шкаф связи - 1 шт., Шкаф анализатора сети - 1 шт., Шкаф СГП-1 шт., Шкаф системы мониторинга и диагностики силового тр-ра - 2 шт., Контроллер присоединения в яч. 10 кВ - 11 шт.,;"ООО НПП ""ЭКРА"""
"Россети ""Сибирь""";Омскэнерго;"ПС 110/10 кВ ""Весенняя""";110;54.982063, 73.267875;Строительство;II;2010;Введена в работу;ШкафАСУ ТП : FULL - сервер, DIP-сервер;Siemens
"Россети ""Сибирь""";Омскэнерго;"ПС 110/10 кВ ""Прибрежная""";110;54.992166, 73.320244;Строительство;II;2014;Введена в работу;ШкафАСУ ТП : FULL -сервер, DIP-сервер;Siemens
