серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
002;2011;Красноярск-2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
003;2011;Красноярск-2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
007;2011;Красноярск-2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
015;;Иркутск;Иркутский алюминиевый завод;РУСАЛ;10;52.19166742330731, 104.08460831108552;ТТЭО-Г;01.01.2011;
019;;Красноярск-2;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
020;;Красноярск-2;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
021;;Красноярск-2;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
022;;Красноярск-2;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;01.01.2011;
023;;Иркутск-2;Иркутский алюминиевый завод;РУСАЛ;10;52.19166742330731, 104.08460831108552;ТТЭО-Г;01.01.2011;
024;;Братск;Братский алюминиевый завод;РУСАЛ;10;56.12769728017043, 101.45080100855724;ТТЭО-Г;01.01.2011;
01-14;2014;Русгидро;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ТТЭО;01.01.2014;Т01-14
02-14;2014;Русгидро;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ТТЭО;01.01.2014;Т02-14
03-14;2014;Русгидро;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ТТЭО;01.01.2014;Т05-14
04-14;2014;Русгидро;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ТТЭО;01.01.2014;Т05-14
05-14;2014;Русгидро;Нижегородская ГЭС;РусГидро;110;56.648632, 43.379365;ТТЭО;01.01.2014;Т05-14
06-14;;Русгидро;;;;;ДНЕЭ;01.01.2014;
07-14;;Русгидро;;;;;ДНЕЭ;01.01.2014;
01-15;2015;Казань-2 (Тестовый ЭОБ);;;;;ТТЭО;;
02-15;2015;ТЭЦ-11;ТЭЦ-11;Газпром Мосэнерго;110;55.75280205372423, 37.72603645794139;ТТЭО;;
03-15;2015;УНИИМ;ФГУП УНИИМ;ФГУП УНИИМ;;;ТТЭО;13.03.2015;
04-15;2015;Красноярск-3;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;19.05.2015;
05-15;2015;Красноярск-3;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;19.05.2015;
06-15;2015;Красноярск-3;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;19.05.2015;
07-15;2015;Красноярск 2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;21.07.2015;
08-15;2015;Красноярск 2011;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;21.07.2015;
09-15;2015;Тестовый ЭОБ-2;;;;;ТТЭО;21.07.2015;
10-15;2015;Казань-3;;;;;ТТЭО;07.09.2015;
11-15 ;2015;Саяногорск-1;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;29.09.2015;
12-15;2015;"отработка технологии выноса линии задержки в кросс, 
затем модуляторы 67кГц";;;;;ТТЭО;28.10.2015;
13-15;2015;АмГУ;;;;;ТТЭО;30.10.2015;
14-15;2015;Русгидро Ремонт;;;;;ТТЭО;11.11.2015;
15-15;;Русгидро Ремонт;;;;;ДНЕЭ;11.12.2015;
16-15;;Русгидро Ремонт;;;;;ДНЕЭ;11.12.2015;
01-16;2016;Саяногорск-2;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;12.01.2016;
02-16;2016;Саяногорск-2;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;12.01.2016;
03-16;2016;Тестовый ЭОБ-3;;;;;ТТЭО;29.01.2016;
04-16;2016;Модернизация ВНИИМ-1;;;;;ТТЭО;26.02.2016;
05-16;;Зарезервирован для испытаний Maxwell по просьбе Янина;;;;;;01.03.2016;
06-16;2016;КЭС;;;;;ТТЭО;21.03.2016;Т06-16
07-16;2016;КЭС;;;;;ТТЭО;21.03.2016;Т06-16
08-16;2016;КЭС;;;;;ТТЭО;21.03.2016;Т08-16
09-16;;КЭС;;;;;ДНЕЭ;21.03.2016;01
10-16;2016;Кандалакша-1;Кандалакшский алюминиевый завод;РУСАЛ;10;67.19400905056888, 32.43380055830461;ТТЭО-Г;13.04.2016;
11-16;2016;Кандалакша-1;Кандалакшский алюминиевый завод;РУСАЛ;10;67.19400905056888, 32.43380055830461;ТТЭО-Г;13.04.2016;
12-16;2016;Красноярск-4;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;24.05.2016;Т12-16
13-16;2016;Красноярск-4;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;24.05.2016;Т13-16
14-16;2016;Красноярск-4;Красноярский алюминиевый завод;РУСАЛ;10;56.08462530213259, 93.01941925256092;ТТЭО-Г;24.05.2016;Т14-16
15-16;2016;Иркутск-3;Иркутский алюминиевый завод;РУСАЛ;10;52.19166742330731, 104.08460831108552;ТТЭО-Г;22.06.2016;Т15-16
16-16;2016;EDF18;;;;;ТТЭО;25.07.2016;Т16-16
17-16;2016;ТГК-1 (ТЭЦ-5);Правобережная ТЭЦ (ТЭЦ-5);ОАО «ТГК-1»;10;59.86642031090816, 30.487559309026985;ТТЭО;23.08.2016;Т17-16
18-16;2016;ТГК-1 (ТЭЦ-22);Южная ТЭЦ (ТЭЦ-22);ОАО «ТГК-1»;10;59.826721094535166, 30.447695642724305;ТТЭО;23.08.2016;Т18-16
19-16;2016;Саяногорск-3;Саяногорский алюминиевый завод;РУСАЛ;10;53.2008564437786, 91.4568565277656;ТТЭО-Г;28.09.2016;Т19-16
20-16;2016;ТГК-1-2 (ТЭЦ-7);Василеостровская ТЭЦ (ТЭЦ-7);ОАО «ТГК-1»;10;59.92355376229864, 30.246416655576883;ТТЭО;03.09.2016;Т20-16
21-16;2016;ТГК-1-2 (7 станция ЗРУ);Василеостровская ТЭЦ (ТЭЦ-7);ОАО «ТГК-1»;110;59.92355376229864, 30.246416655576883;ТТЭО;04.09.2016;Т21-16
22-16;2016;ТГК-1-2 (7 станция ОРУ);Василеостровская ТЭЦ (ТЭЦ-7);ОАО «ТГК-1»;110;59.92355376229864, 30.246416655576883;ТТЭО;04.09.2016;Т22-16
23-16;2016;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;25.10.2016;
24-16;2016;ВЭИ;Всероссийский электротехнический институт;"ФГУП ""ВЭИ""";20;55.75638, 37.70119;ТТЭО;23.11.2016;
25-16;;ДНЕЭ для Maxwell;;;;;ДНЕЭ;29.11.2016;
26-16 (01-17);2016;Ависма-1;;;;;ТТЭО;14.12.2016;
27-16;;Волхов-2;;;;;ЦАПТ;11.12.2017;
02-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;19.01.2017;
03-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;19.01.2017;
04-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;19.01.2017;
05-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
06-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
07-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
08-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
09-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
10-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
11-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
12-17;2017;Герцево;ПС 220/110/20/10 кВ Герцево;АО «Объединенная энергетическая компания»;220;55.836634, 37.399778;ТТЭО;30.01.2017;
